Data,Description,Valor,Transaction Type,Categoria,Account Name,Month,Tipo,Valor_Absoluto,Ano_Mes
2018-01-22,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card,2018-01,Entrada,554.99,2018-01
2018-01-22,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card,2018-01,Entrada,309.81,2018-01
2018-01-22,Credit Card Payment,554.99,debit,Credit Card Payment,Checking,2018-01,Entrada,554.99,2018-01
2018-01-22,Hardware Store,17.38,debit,Home Improvement,Silver Card,2018-01,Entrada,17.38,2018-01
2018-01-23,Credit Card Payment,309.81,debit,Credit Card Payment,Checking,2018-01,Entrada,309.81,2018-01
2018-01-24,Starbucks,3.0,debit,Coffee Shops,Platinum Card,2018-01,Entrada,3.0,2018-01
2018-01-25,Internet Service Provider,69.99,debit,Internet,Checking,2018-01,Entrada,69.99,2018-01
2018-01-29,Shell,30.42,debit,Gas & Fuel,Silver Card,2018-01,Entrada,30.42,2018-01
2018-01-29,Thai Restaurant,25.0,debit,Restaurants,Silver Card,2018-01,Entrada,25.0,2018-01
2018-01-29,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card,2018-01,Entrada,17.62,2018-01
2018-02-01,Grocery Store,27.79,debit,Groceries,Platinum Card,2018-02,Entrada,27.79,2018-02
2018-02-01,Amazon,11.11,debit,Shopping,Platinum Card,2018-02,Entrada,11.11,2018-02
2018-02-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-02,Entrada,1247.44,2018-02
2018-02-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-02,Entrada,2000.0,2018-02
2018-02-03,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card,2018-02,Entrada,57.02,2018-02
2018-02-04,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-02,Entrada,11.76,2018-02
2018-02-05,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card,2018-02,Entrada,145.14,2018-02
2018-02-06,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card,2018-02,Entrada,154.13,2018-02
2018-02-07,Credit Card Payment,154.13,debit,Credit Card Payment,Checking,2018-02,Entrada,154.13,2018-02
2018-02-07,Gas Company,65.0,debit,Utilities,Checking,2018-02,Entrada,65.0,2018-02
2018-02-09,Barbershop,30.0,debit,Haircut,Platinum Card,2018-02,Entrada,30.0,2018-02
2018-02-09,Spotify,10.69,debit,Music,Platinum Card,2018-02,Entrada,10.69,2018-02
2018-02-10,Bojangles,10.66,debit,Fast Food,Platinum Card,2018-02,Entrada,10.66,2018-02
2018-02-11,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card,2018-02,Entrada,106.8,2018-02
2018-02-12,Shell,36.47,debit,Gas & Fuel,Silver Card,2018-02,Entrada,36.47,2018-02
2018-02-12,Phone Company,89.52,debit,Mobile Phone,Checking,2018-02,Entrada,89.52,2018-02
2018-02-14,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card,2018-02,Entrada,14.0,2018-02
2018-02-15,American Tavern,10.0,debit,Restaurants,Platinum Card,2018-02,Entrada,10.0,2018-02
2018-02-15,Power Company,60.0,debit,Utilities,Checking,2018-02,Entrada,60.0,2018-02
2018-02-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-02,Entrada,2000.0,2018-02
2018-02-16,Brunch Restaurant,8.0,debit,Restaurants,Silver Card,2018-02,Entrada,8.0,2018-02
2018-02-16,City Water Charges,35.0,debit,Utilities,Checking,2018-02,Entrada,35.0,2018-02
2018-02-20,Grocery Store,35.95,debit,Groceries,Silver Card,2018-02,Entrada,35.95,2018-02
2018-02-20,Mexican Restaurant,23.51,debit,Restaurants,Silver Card,2018-02,Entrada,23.51,2018-02
2018-02-21,Starbucks,2.0,debit,Coffee Shops,Platinum Card,2018-02,Entrada,2.0,2018-02
2018-02-22,Starbucks,4.0,debit,Coffee Shops,Silver Card,2018-02,Entrada,4.0,2018-02
2018-02-26,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card,2018-02,Entrada,765.37,2018-02
2018-02-26,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card,2018-02,Entrada,156.11,2018-02
2018-02-26,Credit Card Payment,765.37,debit,Credit Card Payment,Checking,2018-02,Entrada,765.37,2018-02
2018-02-26,Internet Service Provider,74.99,debit,Internet,Checking,2018-02,Entrada,74.99,2018-02
2018-02-26,American Tavern,85.52,debit,Restaurants,Silver Card,2018-02,Entrada,85.52,2018-02
2018-02-26,Gas Station,32.21,debit,Gas & Fuel,Silver Card,2018-02,Entrada,32.21,2018-02
2018-02-27,Credit Card Payment,156.11,debit,Credit Card Payment,Checking,2018-02,Entrada,156.11,2018-02
2018-03-01,Grocery Store,32.07,debit,Groceries,Silver Card,2018-03,Entrada,32.07,2018-03
2018-03-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-03,Entrada,13.13,2018-03
2018-03-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-03,Entrada,1247.44,2018-03
2018-03-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-03,Entrada,2000.0,2018-03
2018-03-03,Grocery Store,23.74,debit,Groceries,Silver Card,2018-03,Entrada,23.74,2018-03
2018-03-04,Grocery Store,10.69,debit,Groceries,Platinum Card,2018-03,Entrada,10.69,2018-03
2018-03-04,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-03,Entrada,11.76,2018-03
2018-03-04,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card,2018-03,Entrada,42.24,2018-03
2018-03-05,Starbucks,3.0,debit,Coffee Shops,Platinum Card,2018-03,Entrada,3.0,2018-03
2018-03-05,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card,2018-03,Entrada,761.59,2018-03
2018-03-05,Credit Card Payment,761.59,debit,Credit Card Payment,Checking,2018-03,Entrada,761.59,2018-03
2018-03-07,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03,Entrada,3.5,2018-03
2018-03-08,BP,34.9,debit,Gas & Fuel,Platinum Card,2018-03,Entrada,34.9,2018-03
2018-03-08,Gas Company,52.0,debit,Utilities,Checking,2018-03,Entrada,52.0,2018-03
2018-03-09,Grocery Store,20.72,debit,Groceries,Platinum Card,2018-03,Entrada,20.72,2018-03
2018-03-09,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-03,Entrada,5.09,2018-03
2018-03-09,Spotify,10.69,debit,Music,Platinum Card,2018-03,Entrada,10.69,2018-03
2018-03-12,Grocery Store,19.35,debit,Groceries,Platinum Card,2018-03,Entrada,19.35,2018-03
2018-03-12,Phone Company,89.52,debit,Mobile Phone,Checking,2018-03,Entrada,89.52,2018-03
2018-03-13,Amazon,45.75,debit,Shopping,Platinum Card,2018-03,Entrada,45.75,2018-03
2018-03-14,Grocery Store,22.5,debit,Groceries,Platinum Card,2018-03,Entrada,22.5,2018-03
2018-03-14,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card,2018-03,Entrada,8.49,2018-03
2018-03-15,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03,Entrada,3.5,2018-03
2018-03-15,Power Company,60.0,debit,Utilities,Checking,2018-03,Entrada,60.0,2018-03
2018-03-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-03,Entrada,2000.0,2018-03
2018-03-17,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card,2018-03,Entrada,19.5,2018-03
2018-03-17,Pizza Place,23.34,debit,Fast Food,Platinum Card,2018-03,Entrada,23.34,2018-03
2018-03-19,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card,2018-03,Entrada,36.48,2018-03
2018-03-19,City Water Charges,35.0,debit,Utilities,Checking,2018-03,Entrada,35.0,2018-03
2018-03-20,Amazon,14.97,debit,Shopping,Platinum Card,2018-03,Entrada,14.97,2018-03
2018-03-22,BP,30.55,debit,Gas & Fuel,Silver Card,2018-03,Entrada,30.55,2018-03
2018-03-23,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card,2018-03,Entrada,559.91,2018-03
2018-03-23,Credit Card Payment,559.91,debit,Credit Card Payment,Checking,2018-03,Entrada,559.91,2018-03
2018-03-23,Grocery Store,11.76,debit,Groceries,Silver Card,2018-03,Entrada,11.76,2018-03
2018-03-26,Internet Service Provider,74.99,debit,Internet,Checking,2018-03,Entrada,74.99,2018-03
2018-03-28,Grocery Store,16.06,debit,Groceries,Silver Card,2018-03,Entrada,16.06,2018-03
2018-03-28,Pizza Place,24.98,debit,Restaurants,Silver Card,2018-03,Entrada,24.98,2018-03
2018-03-29,Steakhouse,17.64,debit,Restaurants,Silver Card,2018-03,Entrada,17.64,2018-03
2018-03-30,Grocery Store,9.09,debit,Groceries,Silver Card,2018-03,Entrada,9.09,2018-03
2018-03-30,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-03,Entrada,2000.0,2018-03
2018-03-31,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card,2018-03,Entrada,38.32,2018-03
2018-03-31,Chili's,24.74,debit,Restaurants,Platinum Card,2018-03,Entrada,24.74,2018-03
2018-03-31,Greek Restaurant,41.16,debit,Restaurants,Silver Card,2018-03,Entrada,41.16,2018-03
2018-04-01,Grocery Store,80.79,debit,Groceries,Platinum Card,2018-04,Entrada,80.79,2018-04
2018-04-01,Brewing Company,59.48,debit,Restaurants,Platinum Card,2018-04,Entrada,59.48,2018-04
2018-04-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-04,Entrada,13.13,2018-04
2018-04-02,Credit Card Payment,817.14,credit,Credit Card Payment,Silver Card,2018-04,Entrada,817.14,2018-04
2018-04-02,Credit Card Payment,817.14,debit,Credit Card Payment,Checking,2018-04,Entrada,817.14,2018-04
2018-04-02,Grocery Store,82.36,debit,Groceries,Platinum Card,2018-04,Entrada,82.36,2018-04
2018-04-02,Hardware Store,13.89,debit,Home Improvement,Platinum Card,2018-04,Entrada,13.89,2018-04
2018-04-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-04,Entrada,1247.44,2018-04
2018-04-03,Amazon Video,6.41,debit,Movies & Dvds,Platinum Card,2018-04,Entrada,6.41,2018-04
2018-04-04,Credit Card Payment,363.08,credit,Credit Card Payment,Platinum Card,2018-04,Entrada,363.08,2018-04
2018-04-04,Credit Card Payment,363.08,debit,Credit Card Payment,Checking,2018-04,Entrada,363.08,2018-04
2018-04-04,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-04,Entrada,11.76,2018-04
2018-04-06,Chevron,4.58,debit,Gas & Fuel,Platinum Card,2018-04,Entrada,4.58,2018-04
2018-04-06,Tiny Deli,9.76,debit,Restaurants,Platinum Card,2018-04,Entrada,9.76,2018-04
2018-04-08,Irish Pub,22.0,debit,Restaurants,Platinum Card,2018-04,Entrada,22.0,2018-04
2018-04-09,Blue Sky Market,6.48,debit,Groceries,Silver Card,2018-04,Entrada,6.48,2018-04
2018-04-09,Spotify,10.69,debit,Music,Platinum Card,2018-04,Entrada,10.69,2018-04
2018-04-09,Gas Company,30.0,debit,Utilities,Checking,2018-04,Entrada,30.0,2018-04
2018-04-11,Phone Company,89.52,debit,Mobile Phone,Checking,2018-04,Entrada,89.52,2018-04
2018-04-12,Starbucks,7.0,debit,Coffee Shops,Platinum Card,2018-04,Entrada,7.0,2018-04
2018-04-12,Barbershop,30.0,debit,Haircut,Platinum Card,2018-04,Entrada,30.0,2018-04
2018-04-13,BP,37.98,debit,Gas & Fuel,Platinum Card,2018-04,Entrada,37.98,2018-04
2018-04-13,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-04,Entrada,2000.0,2018-04
2018-04-13,American Tavern,10.66,debit,Restaurants,Platinum Card,2018-04,Entrada,10.66,2018-04
2018-04-14,Hardware Store,11.61,debit,Home Improvement,Platinum Card,2018-04,Entrada,11.61,2018-04
2018-04-14,American Tavern,41.0,debit,Restaurants,Platinum Card,2018-04,Entrada,41.0,2018-04
2018-04-16,State Farm,75.0,debit,Auto Insurance,Checking,2018-04,Entrada,75.0,2018-04
2018-04-16,City Water Charges,35.0,debit,Utilities,Checking,2018-04,Entrada,35.0,2018-04
2018-04-18,Power Company,60.0,debit,Utilities,Checking,2018-04,Entrada,60.0,2018-04
2018-04-20,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-04,Entrada,24.22,2018-04
2018-04-21,Grocery Store,4.32,debit,Groceries,Silver Card,2018-04,Entrada,4.32,2018-04
2018-04-21,American Tavern,35.15,debit,Restaurants,Silver Card,2018-04,Entrada,35.15,2018-04
2018-04-22,Grocery Store,21.32,debit,Groceries,Platinum Card,2018-04,Entrada,21.32,2018-04
2018-04-23,Hardware Store,42.7,debit,Home Improvement,Silver Card,2018-04,Entrada,42.7,2018-04
2018-04-24,Hardware Store,224.7,debit,Home Improvement,Platinum Card,2018-04,Entrada,224.7,2018-04
2018-04-24,Amazon,41.34,debit,Shopping,Platinum Card,2018-04,Entrada,41.34,2018-04
2018-04-25,Hardware Store,210.79,debit,Home Improvement,Silver Card,2018-04,Entrada,210.79,2018-04
2018-04-25,Internet Service Provider,74.99,debit,Internet,Checking,2018-04,Entrada,74.99,2018-04
2018-04-26,Credit Card Payment,769.72,credit,Credit Card Payment,Silver Card,2018-04,Entrada,769.72,2018-04
2018-04-26,Credit Card Payment,1216.94,credit,Credit Card Payment,Platinum Card,2018-04,Entrada,1216.94,2018-04
2018-04-26,Credit Card Payment,1216.94,debit,Credit Card Payment,Checking,2018-04,Entrada,1216.94,2018-04
2018-04-27,Credit Card Payment,769.72,debit,Credit Card Payment,Checking,2018-04,Entrada,769.72,2018-04
2018-04-27,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-04,Entrada,2000.0,2018-04
2018-04-28,Grocery Store,22.98,debit,Groceries,Silver Card,2018-04,Entrada,22.98,2018-04
2018-04-29,QuikTrip,39.0,debit,Gas & Fuel,Platinum Card,2018-04,Entrada,39.0,2018-04
2018-04-29,Grocery Store,51.05,debit,Groceries,Platinum Card,2018-04,Entrada,51.05,2018-04
2018-04-29,Hardware Store,68.47,debit,Home Improvement,Platinum Card,2018-04,Entrada,68.47,2018-04
2018-04-30,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-04,Entrada,5.09,2018-04
2018-05-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-05,Entrada,13.13,2018-05
2018-05-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-05,Entrada,1247.44,2018-05
2018-05-03,Amazon,49.72,debit,Shopping,Platinum Card,2018-05,Entrada,49.72,2018-05
2018-05-04,Grocery Store,42.23,debit,Groceries,Platinum Card,2018-05,Entrada,42.23,2018-05
2018-05-04,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-05,Entrada,11.76,2018-05
2018-05-05,Bojangles,7.27,debit,Fast Food,Platinum Card,2018-05,Entrada,7.27,2018-05
2018-05-05,Pizza Place,20.52,debit,Fast Food,Platinum Card,2018-05,Entrada,20.52,2018-05
2018-05-06,Hardware Store,22.37,debit,Home Improvement,Platinum Card,2018-05,Entrada,22.37,2018-05
2018-05-06,Amazon,117.69,debit,Shopping,Platinum Card,2018-05,Entrada,117.69,2018-05
2018-05-09,Credit Card Payment,601.4,credit,Credit Card Payment,Platinum Card,2018-05,Entrada,601.4,2018-05
2018-05-09,Credit Card Payment,601.4,debit,Credit Card Payment,Checking,2018-05,Entrada,601.4,2018-05
2018-05-09,Spotify,10.69,debit,Music,Platinum Card,2018-05,Entrada,10.69,2018-05
2018-05-09,Gas Company,30.0,debit,Utilities,Checking,2018-05,Entrada,30.0,2018-05
2018-05-10,Phone Company,111.18,debit,Mobile Phone,Checking,2018-05,Entrada,111.18,2018-05
2018-05-11,Grocery Store,57.32,debit,Groceries,Platinum Card,2018-05,Entrada,57.32,2018-05
2018-05-11,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-05,Entrada,2000.0,2018-05
2018-05-11,Mike's Construction Co.,8000.0,debit,Home Improvement,Checking,2018-05,Entrada,8000.0,2018-05
2018-05-12,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card,2018-05,Entrada,27.77,2018-05
2018-05-12,Shell,33.3,debit,Gas & Fuel,Platinum Card,2018-05,Entrada,33.3,2018-05
2018-05-12,Fancy Restaurant,78.0,debit,Restaurants,Platinum Card,2018-05,Entrada,78.0,2018-05
2018-05-14,Grocery Store,67.63,debit,Groceries,Silver Card,2018-05,Entrada,67.63,2018-05
2018-05-15,Power Company,60.0,debit,Utilities,Checking,2018-05,Entrada,60.0,2018-05
2018-05-17,Barbershop,29.0,debit,Haircut,Silver Card,2018-05,Entrada,29.0,2018-05
2018-05-17,City Water Charges,35.0,debit,Utilities,Checking,2018-05,Entrada,35.0,2018-05
2018-05-18,State Farm,75.0,debit,Auto Insurance,Checking,2018-05,Entrada,75.0,2018-05
2018-05-18,Amazon,6.41,debit,Shopping,Platinum Card,2018-05,Entrada,6.41,2018-05
2018-05-19,Credit Card Payment,207.08,credit,Credit Card Payment,Platinum Card,2018-05,Entrada,207.08,2018-05
2018-05-19,Grocery Store,31.0,debit,Groceries,Silver Card,2018-05,Entrada,31.0,2018-05
2018-05-19,Greek Restaurant,23.26,debit,Restaurants,Silver Card,2018-05,Entrada,23.26,2018-05
2018-05-21,Credit Card Payment,283.07,credit,Credit Card Payment,Silver Card,2018-05,Entrada,283.07,2018-05
2018-05-21,Thai Restaurant,26.04,debit,Restaurants,Silver Card,2018-05,Entrada,26.04,2018-05
2018-05-21,Amazon,32.5,debit,Shopping,Platinum Card,2018-05,Entrada,32.5,2018-05
2018-05-22,Credit Card Payment,283.07,debit,Credit Card Payment,Checking,2018-05,Entrada,283.07,2018-05
2018-05-24,BP,39.44,debit,Gas & Fuel,Silver Card,2018-05,Entrada,39.44,2018-05
2018-05-25,Internet Service Provider,74.99,debit,Internet,Checking,2018-05,Entrada,74.99,2018-05
2018-05-25,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-05,Entrada,2000.0,2018-05
2018-05-28,Movie Theater,9.62,debit,Entertainment,Silver Card,2018-05,Entrada,9.62,2018-05
2018-05-28,Grocery Store,91.03,debit,Groceries,Silver Card,2018-05,Entrada,91.03,2018-05
2018-05-29,Movie Theater,20.0,debit,Movies & Dvds,Silver Card,2018-05,Entrada,20.0,2018-05
2018-05-29,Movie Theater,6.25,debit,Movies & Dvds,Silver Card,2018-05,Entrada,6.25,2018-05
2018-06-01,BP,38.63,debit,Gas & Fuel,Platinum Card,2018-06,Entrada,38.63,2018-06
2018-06-01,Grocery Store,6.11,debit,Groceries,Platinum Card,2018-06,Entrada,6.11,2018-06
2018-06-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-06,Entrada,13.13,2018-06
2018-06-02,Credit Card Payment,235.18,credit,Credit Card Payment,Silver Card,2018-06,Entrada,235.18,2018-06
2018-06-02,Credit Card Payment,466.36,credit,Credit Card Payment,Platinum Card,2018-06,Entrada,466.36,2018-06
2018-06-03,Italian Restaurant,65.81,debit,Restaurants,Platinum Card,2018-06,Entrada,65.81,2018-06
2018-06-04,Credit Card Payment,235.18,debit,Credit Card Payment,Checking,2018-06,Entrada,235.18,2018-06
2018-06-04,Grocery Store,24.12,debit,Groceries,Platinum Card,2018-06,Entrada,24.12,2018-06
2018-06-04,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-06,Entrada,1247.44,2018-06
2018-06-04,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-06,Entrada,11.76,2018-06
2018-06-06,Starbucks,4.0,debit,Coffee Shops,Platinum Card,2018-06,Entrada,4.0,2018-06
2018-06-08,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-06,Entrada,2000.0,2018-06
2018-06-08,Gas Company,30.0,debit,Utilities,Checking,2018-06,Entrada,30.0,2018-06
2018-06-09,Chick-Fil-A,16.18,debit,Fast Food,Platinum Card,2018-06,Entrada,16.18,2018-06
2018-06-09,Grocery Store,9.56,debit,Groceries,Platinum Card,2018-06,Entrada,9.56,2018-06
2018-06-09,Spotify,10.69,debit,Music,Platinum Card,2018-06,Entrada,10.69,2018-06
2018-06-10,Grocery Store,46.01,debit,Groceries,Platinum Card,2018-06,Entrada,46.01,2018-06
2018-06-12,Grocery Store,12.55,debit,Groceries,Platinum Card,2018-06,Entrada,12.55,2018-06
2018-06-12,Phone Company,89.46,debit,Mobile Phone,Checking,2018-06,Entrada,89.46,2018-06
2018-06-14,Credit Card Payment,283.44,credit,Credit Card Payment,Platinum Card,2018-06,Entrada,283.44,2018-06
2018-06-14,Credit Card Payment,283.44,debit,Credit Card Payment,Checking,2018-06,Entrada,283.44,2018-06
2018-06-14,Grocery Store,7.02,debit,Groceries,Platinum Card,2018-06,Entrada,7.02,2018-06
2018-06-15,Power Company,60.0,debit,Utilities,Checking,2018-06,Entrada,60.0,2018-06
2018-06-16,Starbucks,3.0,debit,Coffee Shops,Platinum Card,2018-06,Entrada,3.0,2018-06
2018-06-16,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06,Entrada,22.66,2018-06
2018-06-16,Grocery Store,13.9,debit,Groceries,Platinum Card,2018-06,Entrada,13.9,2018-06
2018-06-18,City Water Charges,35.0,debit,Utilities,Checking,2018-06,Entrada,35.0,2018-06
2018-06-19,Shell,38.52,debit,Gas & Fuel,Platinum Card,2018-06,Entrada,38.52,2018-06
2018-06-19,Grocery Store,2.69,debit,Groceries,Platinum Card,2018-06,Entrada,2.69,2018-06
2018-06-20,State Farm,75.0,debit,Auto Insurance,Checking,2018-06,Entrada,75.0,2018-06
2018-06-20,Credit Card Payment,89.45,credit,Credit Card Payment,Silver Card,2018-06,Entrada,89.45,2018-06
2018-06-20,Barbershop,30.0,debit,Haircut,Silver Card,2018-06,Entrada,30.0,2018-06
2018-06-21,Credit Card Payment,89.45,debit,Credit Card Payment,Checking,2018-06,Entrada,89.45,2018-06
2018-06-22,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-06,Entrada,2000.0,2018-06
2018-06-23,Brunch Restaurant,8.5,debit,Restaurants,Silver Card,2018-06,Entrada,8.5,2018-06
2018-06-23,Amazon,74.97,debit,Shopping,Platinum Card,2018-06,Entrada,74.97,2018-06
2018-06-25,Credit Card Payment,942.76,credit,Credit Card Payment,Platinum Card,2018-06,Entrada,942.76,2018-06
2018-06-25,Credit Card Payment,942.76,debit,Credit Card Payment,Checking,2018-06,Entrada,942.76,2018-06
2018-06-25,Internet Service Provider,74.99,debit,Internet,Checking,2018-06,Entrada,74.99,2018-06
2018-06-26,Grocery Store,9.62,debit,Groceries,Silver Card,2018-06,Entrada,9.62,2018-06
2018-06-27,Starbucks,3.5,debit,Coffee Shops,Silver Card,2018-06,Entrada,3.5,2018-06
2018-06-27,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06,Entrada,22.66,2018-06
2018-06-28,Grocery Store,7.57,debit,Groceries,Silver Card,2018-06,Entrada,7.57,2018-06
2018-07-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-07,Entrada,13.13,2018-07
2018-07-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-07,Entrada,1247.44,2018-07
2018-07-02,Movie Theater,25.0,debit,Movies & Dvds,Silver Card,2018-07,Entrada,25.0,2018-07
2018-07-02,American Tavern,36.44,debit,Restaurants,Silver Card,2018-07,Entrada,36.44,2018-07
2018-07-04,BP,34.48,debit,Gas & Fuel,Silver Card,2018-07,Entrada,34.48,2018-07
2018-07-04,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-07,Entrada,11.76,2018-07
2018-07-05,Grocery Store,44.25,debit,Groceries,Silver Card,2018-07,Entrada,44.25,2018-07
2018-07-05,Amazon,212.32,debit,Shopping,Platinum Card,2018-07,Entrada,212.32,2018-07
2018-07-06,Amazon Video,6.41,debit,Movies & Dvds,Platinum Card,2018-07,Entrada,6.41,2018-07
2018-07-06,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-07,Entrada,2000.0,2018-07
2018-07-08,Credit Card Payment,259.87,credit,Credit Card Payment,Platinum Card,2018-07,Entrada,259.87,2018-07
2018-07-09,Credit Card Payment,242.16,credit,Credit Card Payment,Silver Card,2018-07,Entrada,242.16,2018-07
2018-07-09,Credit Card Payment,259.87,debit,Credit Card Payment,Checking,2018-07,Entrada,259.87,2018-07
2018-07-09,Spotify,10.69,debit,Music,Platinum Card,2018-07,Entrada,10.69,2018-07
2018-07-10,Credit Card Payment,242.16,debit,Credit Card Payment,Checking,2018-07,Entrada,242.16,2018-07
2018-07-10,Grocery Store,5.39,debit,Groceries,Silver Card,2018-07,Entrada,5.39,2018-07
2018-07-10,Gas Company,30.0,debit,Utilities,Checking,2018-07,Entrada,30.0,2018-07
2018-07-11,Phone Company,89.46,debit,Mobile Phone,Checking,2018-07,Entrada,89.46,2018-07
2018-07-14,Go Mart,33.51,debit,Gas & Fuel,Silver Card,2018-07,Entrada,33.51,2018-07
2018-07-15,Circle K,36.24,debit,Gas & Fuel,Platinum Card,2018-07,Entrada,36.24,2018-07
2018-07-17,Wendy's,15.23,debit,Fast Food,Silver Card,2018-07,Entrada,15.23,2018-07
2018-07-17,City Water Charges,35.0,debit,Utilities,Checking,2018-07,Entrada,35.0,2018-07
2018-07-17,Power Company,60.0,debit,Utilities,Checking,2018-07,Entrada,60.0,2018-07
